date,site,category,title,url,publish_time,content
20260430,electrive_battery,电池,LGES secures major order for cylindrical cells – possibly from BMW,https://www.electrive.com/2026/04/30/lges-secures-major-order-for-cylindrical-cells-possibly-from-bmw/,2026-04-30 11:00:00,
20260430,ess_news,储能,California sets precedent by overriding local blockade to advance 1.2 GWh Soda Mountain BESS,https://www.ess-news.com/2026/04/30/california-sets-precedent-by-overriding-local-blockade-to-advance-1-2-gwh-soda-mountain-bess/,2026-04-30 13:30:00,
20260430,ess_news,储能,Australia’s market operator Q1 2026 report highlights 4.4 GW of grid storage coming online boosting renewables,https://www.ess-news.com/2026/04/30/australias-market-operator-q1-2026-report-highlights-4-4-gw-of-grid-storage-coming-online-boosting-renewables/,2026-04-30 09:15:00,
20260430,ess_news,储能,US grid operator PJM reopens interconnection process: 67 GW+ of storage in the queue,https://www.ess-news.com/2026/04/30/more-than-67-gw-storage-14-gw-solar-seek-interconnection-in-pjms-reopened-queue/,2026-04-30 07:15:00,
20260430,pv_magazine,光伏,Anker Solix launches 7 kWh modular battery with 5 kWh bidirectional inverter,https://www.pv-magazine.com/2026/04/30/anker-solix-launches-7-kwh-modular-battery-with-5-kwh-bidirectional-inverter/,2026-04-30 10:38:51,
20260430,pv_magazine,光伏,Renewables growth cut Spain’s electricity bills by 24.2% over the past two years,https://www.pv-magazine.com/2026/04/30/renewables-growth-cut-spains-electricity-bills-by-24-2-over-the-past-two-years/,2026-04-30 07:07:52,
20260430,pv_magazine,光伏,New irrigation tech helps reduce water use in agrivoltaics,https://www.pv-magazine.com/2026/04/30/new-irrigation-tech-helps-reduce-water-use-in-agrivoltaics/,2026-04-30 06:51:54,
20260430,pv_magazine,光伏,Solar break quarterly generation records in Australia in Q1,https://www.pv-magazine.com/2026/04/30/solar-break-quarterly-generation-records-in-australia-in-q1/,2026-04-30 06:16:29,
20260430,electrek,新能源,A 65% cost cut? This 100-electric van rollout is ready to prove it,https://electrek.co/2026/04/30/65-percent-cost-cut-this-100-electric-van-rollout-is-ready-to-prove-it/,2026-04-30 23:01:52,
20260430,electrek,新能源,Rivian (RIVN) lifts production capacity for its Georgia plant by 50% to 300K vehicles annually,https://electrek.co/2026/04/30/rivian-rivn-boosts-production-capacity-georgia-plant-50/,2026-04-30 20:45:59,
20260430,electrek,新能源,DC is turning street poles into EV chargers – Voltpost is helping,https://electrek.co/2026/04/30/washington-dc-street-poles-ev-chargers-voltpost/,2026-04-30 20:11:20,
20260430,electrek,新能源,"BYD is about to unleash this 1,000+ hp drop-top electric hypercar in Europe [Images]",https://electrek.co/2026/04/30/byd-denza-z-1000-hp-luxury-drop-top-ev-hypercar-images/,2026-04-30 19:45:28,
20260430,electrek,新能源,"Yozma IN 10 electric mini dirt bike at exclusive new $999 low, EcoFlow sale drops DELTA 3 Plus to $599, Anker SOLIX, more",https://electrek.co/2026/04/30/yozma-in-10-electric-mini-dirt-bike-ecoflow-power-station-delta-3-plus-anker-solix-more/,2026-04-30 18:00:00,
20260430,electrek,新能源,Kia’s electric van is about to go on patrol with AI cameras and drones,https://electrek.co/2026/04/30/kias-ev-van-patrol-ai-cameras-drones/,2026-04-30 17:50:40,
20260430,electrek,新能源,"Hyundai’s Pleos infotainment system is like Tesla’s, but with one big difference [Images]",https://electrek.co/2026/04/30/hyundai-unveils-new-pleos-connect-infotainment-system-images/,2026-04-30 15:58:05,
20260430,electrek,新能源,"How Honda, Yamaha, and other Japanese leaders are racing towards electric motorcycles",https://electrek.co/2026/04/30/how-honda-yamaha-and-other-japanese-leaders-are-racing-towards-electric-motorcycles/,2026-04-30 14:29:53,
20260430,electrek,新能源,"BMW updates new iX3 range to 434 miles in the US, and then drops it back to 400 miles",https://electrek.co/2026/04/30/bmw-updates-new-ix3-range-estimates-to-434-miles/,2026-04-30 14:13:29,
20260430,electrek,新能源,Tesla ‘Robotaxi’ unsupervised fleet finally shows some signs of ramping up,https://electrek.co/2026/04/30/tesla-robotaxi-unsupervised-finally-signs-ramping-up/,2026-04-30 09:48:49,
20260430,electrek,新能源,"NEVI EV charger rollout sped up in 2025, still not fast enough due to roadblocks",https://electrek.co/2026/04/30/nevi-ev-charger-rollout-sped-up-in-2025-still-not-fast-enough-due-to-roadblocks/,2026-04-30 09:45:00,
20260430,scitechdaily,综合科技,Scientists Print Artificial Neurons That Can Talk to the Brain,https://scitechdaily.com/scientists-print-artificial-neurons-that-can-talk-to-the-brain/,2026-04-30 21:03:18,
20260430,scitechdaily,综合科技,Bowel and Ovarian Cancers Are Dramatically Rising in Young Adults and Scientists Aren’t Sure Why,https://scitechdaily.com/bowel-and-ovarian-cancers-are-dramatically-rising-in-young-adults-and-scientists-arent-sure-why/,2026-04-30 19:22:07,
20260430,scitechdaily,综合科技,"Alzheimer’s May Begin Decades Earlier Than You Think, New Mayo Clinic Study Finds",https://scitechdaily.com/alzheimers-may-begin-decades-earlier-than-you-think-new-mayo-clinic-study-finds/,2026-04-30 18:47:05,
20260430,scitechdaily,综合科技,The Hidden Risk of Taking Breaks From Weight-Loss Drugs Like Ozempic,https://scitechdaily.com/the-hidden-risk-of-taking-breaks-from-weight-loss-drugs-like-ozempic/,2026-04-30 18:12:07,
